ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Note
1,220uF,C1,CAP-SMD_L3.5-W2.8-R-RD,1,TC212B227M006B,
2,100nF,"C2,C3",C0805,2,35MU104KZ22012,
3,100nF X2,C4,ECQUAAF104M,1,ECQUAAF104M,Filtre entree HLK-10M05
4,470nF X2,C5,ECQUAAF474M,1,ECQUAAF474M,Detection presence secteur — ref corrigee (CSV d'origine : 104M copie de C4)
5,1N4007,"D1,D2,D3,D4,D5,D6",DO-41_BD2.4-L4.7-P8.70-D0.9-RD,6,1N4007,GR = suffixe conditionnement Vishay — meme composant
6,BZT52-C3V3J,D7,SOD-123_L2.7-W1.6-LS3.7-RD,1,BZT52-C3V3J,
7,PPTC 230VAC/100mA max,F1,0ZRE0100FF1A,1,CMF-RL25-0,
8,0443002.DR,F2,0443500DR,1,0443002.DR,A VERIFIER : footprint 0443500DR vs ref 0443002.DR (Littelfuse)
9,SSHB10HS-R11100,FL2,SSHB10HSR11100,1,SSHB10HSR11100,
10,KH-2.54PH180-1X8P-L11.5,H1,HDR-TH_8P-P2.54-V-M,1,KH-2.54PH180-1X8P-L11.5,
11,LTV-814S,"HY1,HY2",SOP254P1016X460-4N,2,LTV-814S,
12,24FC02-I/P,IC1,DIP794W56P254L946H432Q8N,1,24FC02-I/P,
13,1729128,"J3,J4,J5,J6,J7",CONN-TH_2P-P5.08_1729128,5,651-1729128,651- = prefixe Mouser — ref Phoenix Contact : 1729128
14,LDR4900,LED1,LED-TH_BD3.2-P2.54-RD,1,TLDR4900,
15,3k,"R1,R2,R7,R8,R9,R10",R1206,6,SCR1206F3K,
16,220R,"R3,R4,R5,R6,R11",R1206,5,SCR1206F470R,fusion : QR1206F470RP05Z + SCR1206F470R — meme valeur meme boitier
17,1.2k,R12,R1206,1,SCR1206F1K2,Polarisation LED HY2 (Rx2)
18,10k,R13,R1206,1,SCR1206F10K,"Pull-up collecteur HY2 — libelle schema ""10K (1K)"" clarifie en 10k"
19,1k 1W,R14,R1206,1,,Resistance traversante 1W montage vertical — empreinte 1206 = pastilles adaptees. Serie C5 detection secteur (P calc ~0.56 W mono-alternance)
20,10k,R15,R1206,1,SCR1206F10K,Pull-up collecteur HY1 (PS)
21,1M 5%,R16,R1206,1,RMCP1206JT1M00,NOUVEAU rev 4.1 : decharge C5 (tau 0.47 s) — face bottom en // de C5. Stackpole RMCP 0.5 W / 400 V — tenue 325 V crete OK
22,MOV-10D561K,RV1,MOV10D561K,1,MOV-10D561K,
23,PM5R0V474R,SC1,CAP-SMD_L3.5-W2.8-R-RD,1,PM5R0V474R,Ref d'origine (TC212B227M006B) = copier-coller de C1 — corrigee
24,MOC3043M,"U1,U2,U3,U4",DIP-6_L8.5-W6.4-P2.54-LS7.6-BL,4,MOC3043M,
25,HLK-10M05,U5,PWRM-TH_HLK-10M05,1,HLK-10M05,
26,ESP32-C6-DEV-KIT-N8,U7,ESP32-C6-DEV-KIT-N8,1,ESP32-C6-DEV-KIT-N8,
